#Keyword Types: 226
#Keyword Tokens: 14724
#Search Hits: 0
1	192	+	702.63	0.0087	uh
2	181	+	680.46	0.0082	kennedy
3	102	+	349.13	0.0046	nixon
4	52	+	252.39	0.0024	communists
5	45	+	233.37	0.0021	islands
6	39	+	210.48	0.0018	formosa
7	49	+	196.85	0.0022	latin
8	2819	+	181.05	0.0738	the
9	35	+	173.6	0.0016	prestige
10	33	+	169.21	0.0015	khrushchev
11	185	+	162.76	0.0083	united
12	199	+	162.34	0.0089	which
13	27	+	145.71	0.0012	quemoy
14	41	+	142.82	0.0019	twenty
15	184	+	141.56	0.0082	states
16	25	+	134.91	0.0011	matsu
17	38	+	133.14	0.0017	conference
18	212	+	132.51	0.0094	senator
19	34	+	132.36	0.0016	fifty
20	35	+	129.89	0.0016	eisenhower
21	31	+	125.9	0.0014	castro
22	63	+	124.7	0.0029	freedom
23	231	+	122.32	0.0102	mr
24	63	+	111.77	0.0029	five
25	24	+	107.11	0.0011	salaries
26	81	+	104.07	0.0037	must
27	149	+	99.57	0.0067	should
28	30	+	97.38	0.0014	cuba
29	19	+	89.6	0.0009	berlin
30	66	+	88.65	0.003	position
31	22	+	87.64	0.001	indicate
32	1081	+	87.42	0.0387	in
33	20	+	83.61	0.0009	cent
34	34	+	82.77	0.0016	africa
35	15	+	80.94	0.0007	depletion
36	34	+	79.84	0.0016	comment
37	27	+	77.18	0.0012	summit
38	17	+	75.25	0.0008	regrets
39	24	+	74.66	0.0011	truman
40	273	+	71.9	0.0118	would
41	33	+	71.78	0.0015	aid
42	18	+	68.46	0.0008	communism
43	315	+	67.78	0.0135	as
44	23	+	67.51	0.0011	communist
45	26	+	66.05	0.0012	field
46	12	+	64.75	0.0005	chiang
47	12	+	64.75	0.0005	kai
48	12	+	64.75	0.0005	pescadores
49	12	+	64.75	0.0005	shek
50	45	+	62.84	0.002	eight
51	25	+	61.22	0.0011	abroad
52	28	+	61.01	0.0013	seven
53	42	+	60.81	0.0019	ahead
54	47	+	60.15	0.0021	far
55	40	+	58.69	0.0018	meet
56	13	+	58.65	0.0006	aged
57	13	+	58.65	0.0006	sixties
58	26	+	54.08	0.0012	indicated
59	42	+	52.73	0.0019	isn
60	15	+	52.34	0.0007	powers
61	51	+	52.29	0.0023	soviet
62	32	+	50.91	0.0015	moving
63	37	+	50.48	0.0017	concerned
64	13	+	49.58	0.0006	flights
65	9	+	48.57	0.0004	indochina
66	9	+	48.57	0.0004	mcgee
67	56	+	47.97	0.0025	move
68	22	+	47.57	0.001	maintain
69	25	+	47.08	0.0011	hundred
70	102	+	46.7	0.0046	any
71	99	+	45.86	0.0045	administration
72	11	+	45.23	0.0005	reporters
73	24	+	44.55	0.0011	per
74	125	+	44.46	0.0056	these
75	16	+	44.21	0.0007	recommendations
76	125	+	44.2	0.0056	believe
77	37	+	44.16	0.0017	strength
78	44	+	44.01	0.002	growth
79	8	+	43.17	0.0004	correspondents
80	8	+	43.17	0.0004	drummond
81	101	+	43.1	0.0045	vice
82	19	+	43.01	0.0009	assistance
83	11	+	42.52	0.0005	surrender
84	44	+	41.2	0.002	union
85	32	+	40.83	0.0015	committee
86	28	+	40.05	0.0013	areas
87	122	+	39.39	0.0055	his
88	25	+	39.19	0.0011	suggested
89	15	+	37.98	0.0007	asia
90	7	+	37.77	0.0003	eh
91	7	+	37.77	0.0003	flight
92	23	+	37.74	0.001	present
93	1300	+	37.74	0.0433	that
94	31	+	37.47	0.0014	judgment
95	12	+	37.33	0.0005	satisfied
96	66	+	37.27	0.003	program
97	48	+	37.26	0.0022	four
98	22	+	37.06	0.001	suggest
99	8	+	37.03	0.0004	merely
100	229	+	36.94	0.01	has
101	17	+	36.8	0.0008	farmer
102	32	+	36.48	0.0015	area
103	14	+	36.32	0.0006	expressed
104	11	+	36.28	0.0005	persuade
105	26	+	36.01	0.0012	regard
106	34	+	35.19	0.0015	statement
107	33	+	34.92	0.0015	candidate
108	21	+	34.63	0.001	therefore
109	12	+	34.45	0.0005	sixty
110	52	+	34.39	0.0024	programs
111	24	+	34.33	0.0011	upon
112	1185	+	33.84	0.0404	of
113	37	+	33.65	0.0017	candidates
114	10	+	33.63	0.0005	networks
115	11	+	33.09	0.0005	tests
116	9	+	33.07	0.0004	allowance
117	9	+	33.07	0.0004	sustain
118	42	+	32.41	0.0019	dollars
119	6	+	32.38	0.0003	benson
120	6	+	32.38	0.0003	dulles
121	6	+	32.38	0.0003	fremd
122	6	+	32.38	0.0003	herter
123	6	+	32.38	0.0003	howe
124	6	+	32.38	0.0003	morgan
125	14	+	32.27	0.0006	space
126	50	+	32.15	0.0023	may
127	7	+	31.88	0.0003	congo
128	7	+	31.88	0.0003	indicating
129	7	+	31.88	0.0003	nineteen
130	7	+	31.88	0.0003	rockefeller
131	7	+	31.88	0.0003	summation
132	11	+	31.69	0.0005	stated
133	40	+	31.3	0.0018	power
134	12	+	30.82	0.0005	discussed
135	12	+	30.82	0.0005	session
136	8	+	30.7	0.0004	outer
137	37	+	30.57	0.0017	party
138	14	+	30.5	0.0006	adequate
139	10	+	30.35	0.0005	seventy
140	18	+	29.12	0.0008	previous
141	17	+	29.01	0.0008	television
142	10	+	28.93	0.0005	disarmament
143	8	+	28.45	0.0004	india
144	42	+	28.4	0.0019	course
145	11	+	28.07	0.0005	miles
146	23	+	27.77	0.001	six
147	40	+	27.7	0.0018	free
148	13	+	27.04	0.0006	chinese
149	11	+	27.01	0.0005	advance
150	5	+	26.98	0.0002	guinea
151	5	+	26.98	0.0002	injunction
152	5	+	26.98	0.0002	klan
153	5	+	26.98	0.0002	levy
154	5	+	26.98	0.0002	novins
155	5	+	26.98	0.0002	vigor
156	5	+	26.98	0.0002	von
157	5	+	26.98	0.0002	wholly
158	6	+	26.77	0.0003	laos
159	6	+	26.77	0.0003	retreat
160	41	+	26.62	0.0019	countries
161	8	+	26.54	0.0004	relative
162	22	+	26.46	0.001	secondly
163	10	+	26.43	0.0005	stimulate
164	19	+	26.35	0.0009	ten
165	9	+	26.17	0.0004	struggle
166	12	+	25.2	0.0005	roosevelt
167	25	+	25.01	0.0011	defend
168	16	+	24.91	0.0007	speech
169	9	+	24.87	0.0004	franklin
170	9	+	24.87	0.0004	suggests
171	13	+	24.81	0.0006	responsibilities
172	20	+	24.64	0.0009	majority
173	13	+	24.13	0.0006	nine
174	14	+	24.07	0.0006	january
175	7	+	23.91	0.0003	atmosphere
176	9	+	23.67	0.0004	compare
177	6	+	23.66	0.0003	implication
178	6	+	23.66	0.0003	moves
179	6	+	23.66	0.0003	underdeveloped
180	228	+	23.5	0.0099	will
181	25	+	23.44	0.0011	teachers
182	15	+	23.09	0.0007	however
183	21	+	22.92	0.001	attack
184	18	+	22.83	0.0008	effect
185	50	+	22.76	0.0023	economic
186	49	+	22.59	0.0022	point
187	9	+	22.57	0.0004	cents
188	7	+	22.17	0.0003	island
189	20	+	21.98	0.0009	particularly
190	5	+	21.71	0.0002	cater
191	5	+	21.71	0.0002	fourteen
192	4	+	21.58	0.0002	arbitration
193	4	+	21.58	0.0002	batista
194	4	+	21.58	0.0002	ghana
195	4	+	21.58	0.0002	javits
196	4	+	21.58	0.0002	niven
197	4	+	21.58	0.0002	preach
198	4	+	21.58	0.0002	ridgway
199	4	+	21.58	0.0002	shadel
200	4	+	21.58	0.0002	spivak
201	4	+	21.58	0.0002	twining
202	9	+	21.56	0.0004	fail
203	129	+	21.28	0.0057	question
204	20	+	21.28	0.0009	society
205	169	+	21.17	0.0074	or
206	32	+	21.09	0.0015	its
207	333	+	21.05	0.014	be
208	73	+	20.93	0.0033	only
209	8	+	20.92	0.0004	radio
210	8	+	20.92	0.0004	selected
211	39	+	20.91	0.0018	republican
212	22	+	20.9	0.001	period
213	7	+	20.66	0.0003	eighty
214	16	+	20.62	0.0007	press
215	25	+	20.33	0.0011	progress
216	14	+	20.27	0.0006	platform
217	12	+	19.79	0.0005	determine
218	6	+	19.47	0.0003	ideals
219	18	+	19.39	0.0008	effective
220	7	+	19.34	0.0003	sustained
221	15	+	19.31	0.0007	opening
222	20	+	19.31	0.0009	treaty
223	209	+	19.15	0.0091	if
224	5	+	18.88	0.0002	brazil
225	8	+	18.84	0.0004	technical
226	18	+	18.7	0.0008	rather
