#Keyword Types: 79
#Keyword Tokens: 3183
#Search Hits: 0
1	67	+	245.29	0.0087	reagan
2	46	+	111.13	0.006	carter
3	29	+	101.5	0.0038	treaty
4	523	+	79.86	0.0348	of
5	28	+	75.2	0.0037	inflation
6	80	+	67.65	0.0098	governor
7	19	+	65.14	0.0025	california
8	42	+	60.59	0.0054	nation
9	39	+	57.44	0.005	yes
10	8	+	53.88	0.0011	stone
11	9	+	51.77	0.0012	buildup
12	29	+	49.74	0.0038	oil
13	10	+	46.59	0.0013	followup
14	6	+	45.08	0.0008	hilliard
15	10	+	42.2	0.0013	salt
16	10	+	37.89	0.0013	oval
17	6	+	36.18	0.0008	opec
18	9	+	35.71	0.0012	lands
19	12	+	34.94	0.0016	regulations
20	10	+	34.44	0.0013	hostages
21	6	+	33.77	0.0008	ellis
22	15	+	32.75	0.002	commitment
23	25	+	32.41	0.0032	increase
24	7	+	32.25	0.0009	inflationary
25	101	+	30.97	0.0115	would
26	29	+	30.34	0.0037	social
27	6	+	30.16	0.0008	delayed
28	6	+	30.16	0.0008	disturbing
29	4	+	30.05	0.0005	garter
30	4	+	30.05	0.0005	nonwhites
31	4	+	30.05	0.0005	synthetic
32	8	+	29.57	0.0011	barbara
33	6	+	28.73	0.0008	index
34	40	+	28.56	0.0051	security
35	13	+	28.08	0.0017	air
36	12	+	27.81	0.0016	terrorism
37	905	+	26.61	0.0378	the
38	10	+	26.21	0.0013	wage
39	78	+	25.48	0.0092	been
40	5	+	25.39	0.0007	preserving
41	5	+	25.39	0.0007	walters
42	21	+	25.19	0.0027	peace
43	4	+	25.1	0.0005	drilled
44	4	+	25.1	0.0005	external
45	6	+	24.38	0.0008	presently
46	47	+	24.13	0.0058	government
47	366	+	23.68	0.0268	in
48	9	+	23.51	0.0012	presidents
49	8	+	22.85	0.0011	commitments
50	10	+	22.81	0.0013	equal
51	3	+	22.54	0.0004	discriminations
52	3	+	22.54	0.0004	exemplified
53	3	+	22.54	0.0004	induce
54	3	+	22.54	0.0004	neutrality
55	3	+	22.54	0.0004	roth
56	3	+	22.54	0.0004	tnt
57	3	+	22.54	0.0004	vividly
58	12	+	22.02	0.0016	word
59	23	+	21.96	0.003	future
60	9	+	21.74	0.0012	forth
61	5	+	21.6	0.0007	predecessors
62	23	+	21.55	0.003	energy
63	161	+	21.32	0.0162	this
64	7	+	21.09	0.0009	repeat
65	12	+	20.73	0.0016	coal
66	6	+	20.66	0.0008	mainstream
67	4	+	20.64	0.0005	historical
68	5	+	20.62	0.0007	emphasis
69	27	+	19.62	0.0035	nuclear
70	19	+	19.46	0.0025	office
71	56	+	19.4	0.0068	question
72	4	+	19.15	0.0005	importing
73	4	+	19.15	0.0005	reluctant
74	14	+	18.42	0.0018	unemployment
75	3	+	18.09	0.0004	lonely
76	3	+	18.09	0.0004	marvin
77	3	+	18.09	0.0004	plo
78	3	+	18.09	0.0004	ratify
79	3	+	18.09	0.0004	scrap
