#Keyword Types: 92
#Keyword Tokens: 4828
#Search Hits: 0
1	129	+	451.61	0.0059	mondale
2	36	+	194.17	0.0016	ferraro
3	44	+	148.6	0.002	rebuttal
4	30	+	142.12	0.0014	nicaragua
5	23	+	124.05	0.001	congresswoman
6	73	+	120.45	0.0033	soviet
7	220	+	103.3	0.0097	mr
8	29	+	98.18	0.0013	soviets
9	53	+	97.59	0.0024	arms
10	27	+	96.99	0.0012	lebanon
11	42	+	96.7	0.0019	human
12	60	+	91.72	0.0027	reagan
13	27	+	81.28	0.0012	church
14	68	+	67.62	0.0031	must
15	12	+	57.81	0.0005	covert
16	23	+	57.75	0.001	missiles
17	1349	+	57.03	0.0449	that
18	20	+	55.21	0.0009	recovery
19	14	+	54.3	0.0006	reference
20	49	+	54.09	0.0022	union
21	12	+	53.51	0.0005	separation
22	17	+	50.96	0.0008	cia
23	49	+	50.29	0.0022	interest
24	14	+	49.75	0.0006	embassy
25	13	+	49.54	0.0006	command
26	30	+	49.4	0.0014	regard
27	9	+	48.54	0.0004	armageddon
28	11	+	48.44	0.0005	el
29	11	+	48.44	0.0005	salvador
30	50	+	47.4	0.0023	rights
31	10	+	47.37	0.0005	verifiable
32	327	+	46.6	0.0139	president
33	9	+	42.18	0.0004	falwell
34	24	+	41.29	0.0011	central
35	96	+	40.95	0.0043	administration
36	21	+	38.26	0.001	deficits
37	7	+	37.75	0.0003	fritz
38	7	+	37.75	0.0003	gromyko
39	11	+	36.24	0.0005	unborn
40	351	+	35.72	0.0148	with
41	17	+	35.13	0.0008	religion
42	128	+	34.3	0.0057	were
43	33	+	33.83	0.0015	rates
44	9	+	33.05	0.0004	contras
45	6	+	32.36	0.0003	beirut
46	6	+	32.36	0.0003	boyd
47	6	+	32.36	0.0003	kalb
48	6	+	32.36	0.0003	manual
49	6	+	32.36	0.0003	mazzoli
50	7	+	31.86	0.0003	diane
51	7	+	31.86	0.0003	dorothy
52	12	+	30.78	0.0005	mutual
53	22	+	29.78	0.001	civil
54	26	+	28.98	0.0012	abortion
55	16	+	27.73	0.0007	league
56	16	+	27.73	0.0007	religious
57	249	+	27.6	0.0107	there
58	5	+	26.96	0.0002	dominant
59	5	+	26.96	0.0002	ridings
60	5	+	26.96	0.0002	sawyer
61	5	+	26.96	0.0002	wieghart
62	92	+	26.83	0.0041	down
63	51	+	26.7	0.0023	life
64	161	+	26.27	0.0071	your
65	9	+	26.15	0.0004	correspondent
66	9	+	26.15	0.0004	delivered
67	267	+	25.19	0.0114	was
68	15	+	24.13	0.0007	moral
69	6	+	23.64	0.0003	barracks
70	6	+	23.64	0.0003	enforced
71	6	+	23.64	0.0003	sandinistas
72	12	+	23.64	0.0005	space
73	43	+	22.79	0.002	leadership
74	7	+	22.15	0.0003	verify
75	8	+	22.08	0.0004	philippines
76	5	+	21.7	0.0002	accountant
77	4	+	21.57	0.0002	archbishop
78	4	+	21.57	0.0002	excised
79	4	+	21.57	0.0002	fred
80	4	+	21.57	0.0002	geraldine
81	4	+	21.57	0.0002	khomeini
82	4	+	21.57	0.0002	pluralism
83	4	+	21.57	0.0002	prophecies
84	4	+	21.57	0.0002	similarly
85	4	+	21.57	0.0002	somoza
86	4	+	21.57	0.0002	uneven
87	9	+	21.53	0.0004	followup
88	10	+	20.71	0.0005	mrs
89	9	+	20.59	0.0004	prayer
90	48	+	20.31	0.0022	weapons
91	9	+	19.7	0.0004	revolution
92	7	+	19.32	0.0003	object
