#Keyword Types: 96
#Keyword Tokens: 7243
#Search Hits: 0
1	86	+	427.48	0.0037	dukakis
2	79	+	405.76	0.0034	bentsen
3	58	+	187.69	0.0025	quayle
4	161	+	156.83	0.0068	vice
5	68	+	134.78	0.0029	applause
6	20	+	105.39	0.0009	gov
7	36	+	92.83	0.0015	massachusetts
8	19	+	92.32	0.0008	lloyd
9	16	+	84.31	0.0007	andrea
10	22	+	79.91	0.0009	michael
11	15	+	71.71	0.0006	margaret
12	13	+	68.5	0.0006	peter
13	21	+	60.93	0.0009	conventional
14	20	+	59.82	0.0009	hostages
15	45	+	57.42	0.0019	george
16	88	+	54.54	0.0037	bush
17	19	+	54.24	0.0008	ann
18	1632	+	53.01	0.0497	and
19	19	+	52.85	0.0008	farm
20	10	+	52.69	0.0004	brit
21	11	+	51.23	0.0005	noriega
22	26	+	50.42	0.0011	liberal
23	25	+	49.47	0.0011	billions
24	17	+	48.98	0.0007	qualifications
25	19	+	47.89	0.0008	systems
26	40	+	47.85	0.0017	drug
27	1292	+	47.75	0.042	of
28	21	+	46.02	0.0009	freeze
29	12	+	45.83	0.0005	youngsters
30	19	+	42.7	0.0008	governors
31	10	+	42.18	0.0004	heroes
32	75	+	41.41	0.0032	kind
33	9	+	41.07	0.0004	contra
34	18	+	39.18	0.0008	farmer
35	10	+	39.09	0.0004	homeless
36	7	+	36.88	0.0003	aclu
37	7	+	36.88	0.0003	judy
38	12	+	35.89	0.0005	boston
39	21	+	34.79	0.0009	prepared
40	26	+	33.41	0.0011	presidency
41	29	+	33.24	0.0012	clean
42	29	+	32.84	0.0012	values
43	8	+	32.44	0.0003	breakfast
44	6	+	31.61	0.0003	groer
45	6	+	31.61	0.0003	margolis
46	6	+	31.61	0.0003	scattered
47	15	+	31.48	0.0006	dan
48	33	+	31.21	0.0014	tough
49	7	+	31	0.0003	inf
50	142	+	29.54	0.0059	those
51	16	+	29.33	0.0007	penalty
52	21	+	29.25	0.0009	choices
53	26	+	28.81	0.0011	housing
54	17	+	28.43	0.0007	strategic
55	12	+	28.37	0.0005	picked
56	32	+	27.55	0.0014	arms
57	34	+	26.71	0.0015	experience
58	10	+	26.45	0.0004	deterrent
59	5	+	26.34	0.0002	hume
60	5	+	26.34	0.0002	shouts
61	6	+	26.02	0.0003	warner
62	10	+	25.26	0.0004	agricultural
63	7	+	25.11	0.0003	compton
64	9	+	25.1	0.0004	unilateral
65	11	+	24.77	0.0005	passion
66	12	+	24.68	0.0005	decent
67	13	+	24.1	0.0006	light
68	26	+	23.92	0.0011	legislation
69	11	+	23.84	0.0005	indiana
70	9	+	23.81	0.0004	pentagon
71	206	+	23.18	0.0085	one
72	10	+	23.13	0.0004	mike
73	7	+	23.06	0.0003	conscience
74	7	+	23.06	0.0003	prevention
75	1226	+	22.93	0.0398	i
76	6	+	22.91	0.0003	mckinney
77	154	+	22.8	0.0064	country
78	400	+	22.72	0.0157	on
79	10	+	22.17	0.0004	coast
80	15	+	21.54	0.0006	farmers
81	136	+	21.48	0.0057	question
82	7	+	21.33	0.0003	flexible
83	142	+	21.24	0.0059	senator
84	8	+	21.16	0.0003	pac
85	5	+	21.09	0.0002	pounding
86	4	+	21.08	0.0002	colas
87	4	+	21.08	0.0002	jennings
88	15	+	21.03	0.0006	markets
89	40	+	20.66	0.0017	hope
90	6	+	20.6	0.0003	corn
91	6	+	20.6	0.0003	gorbachev
92	6	+	20.6	0.0003	owed
93	39	+	20.43	0.0017	deficit
94	14	+	20.35	0.0006	water
95	29	+	19.41	0.0012	forces
96	44	+	19.34	0.0019	defense
