Everyone but Trump
Counts of Adjectives
Word	Count
unwanted	6
late	23
unconfirmed	1
encouraging	1
European	11
about	13
respected	10
passionate	4
bold	5
brave	12
interesting	29
additional	78
uneasy	2
insecure	4
overextended	9
mass	45
tactical	3
fewer	28
credible	29
Iraqi	28
both	2
cleaner	11
controversial	8
strategic	44
dependent	12
sided	1
beautiful	10
pristine	2
deep	27
western	4
efficient	34
superb	8
popular	21
cultural	6
similar	18
unprecedented	9
Big	3
outraged	1
sexual	2
sad	3
fortunate	14
unAmerican	1
current	43
gay	13
lesbian	6
qualified	43
traditional	16
heterosexual	2
distinguished	12
environmental	48
devoted	4
distasteful	1
acceptable	8
12-year	2
bolder	1
blessed	3
wealthiest	43
Middle	16
50-cent	2
wealthy	80
upper	6
fourth	16
relevant	17
poorest	6
amazed	3
irrelevant	3
impressive	2
extensive	5
grateful	10
hunky	1
dory	1
realistic	11
leading	3
lifelong	2
conservative	21
common	34
congressional	11
longer	12
competitive	29
vital	23
front	12
chief	21
Several	3
outrageous	16
insolvent	2
Many	12
25-percent	5
affordable	36
Economic	1
marginal	5
domestic	47
main	17
northern	9
profound	5
overall	21
ordinary	11
Personal	2
rightwing	1
unified	3
modest	10
early	26
fashioned	4
costly	4
disciplined	2
numerous	5
paltry	3
near	6
uncertain	1
mobile	5
democratic	29
reliable	4
National	3
involved	9
tribal	1
armed	14
ethnic	12
adoptive	4
foster	2
widowed	2
17th	1
nonviolent	2
segregated	2
formal	2
poorer	3
longest	5
healthy	15
preventive	8
compelling	3
square	3
bright	18
brilliant	8
prudent	7
lousy	4
huge	50
blue	1
urban	18
clean	64
mental	11
15-percent	1
unelected	6
strict	16
administrative	8
drastic	3
pharmaceutical	2
defensive	10
rural	13
wide	7
cheaper	8
devastating	12
brief	7
bankrupt	25
surplus	6
okay	15
dumb	6
incredible	13
unique	11
countless	1
18-year	3
2-year	2
busted	1
automatic	9
uneducated	1
unequal	2
flexible	10
faithful	2
bureaucratic	9
juvenile	3
8-year	5
legitimate	15
faster	1
practical	8
drunk	2
civilian	9
harsh	4
incumbent	4
ardent	1
casual	2
soft	7
indispensable	1
Central	2
virtual	1
6-year	1
solemn	3
North	7
inflationadjusted	1
joint	6
Kurdish	5
Innocent	1
innocent	9
Israeli	11
troubled	11
stale	2
limited	15
improved	3
Catholic	15
amazing	14
ambiguous	4
tight	5
golden	3
Liberal	1
inconvenient	1
toxic	11
pregnant	7
typical	12
healthier	7
familiar	12
capital	2
prosperous	13
Strong	3
finest	12
younger	28
insured	2
discouraged	1
stable	16
outof	1
15year	1
weaker	6
for——	1
affirmative	26
unqualified	4
competent	6
solid	9
accessible	5
percent—	1
targeted	2
regular	5
20th	7
taxpaying	2
tiny	9
composite	1
lighter	3
curious	2
